id,name,lat,long,installed
3,Colleges of the Fenway,42.340021,-71.100812,true
4,Tremont St. at Berkeley St.,42.345392,-71.069616,true
5,Northeastern U / North Parking Lot,42.341814,-71.090179,true
6,Cambridge St. at Joy St.,42.361285,-71.06514,true
7,Fan Pier,42.353412,-71.044624,true
8,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,true
9,Agganis Arena - 925 Comm Ave.,42.351313,-71.116174,true
10,B.U. Central - 725 Comm. Ave.,42.350075,-71.105884,true
11,Longwood Ave / Binney St,42.338629,-71.1065,true
12,Ruggles Station / Columbus Ave.,42.335911,-71.088496,true
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,true
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,true
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,true
16,Back Bay / South End Station,42.347433,-71.076163,true
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365074,-71.119581,true
18,Harvard Real Estate - 219 Western Ave. at North Harvard St.,42.36337,-71.129791,true
19,Buswell Park,42.347527,-71.105828,true
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,true
21,Prudential Center / Belvidere,42.345959,-71.082578,true
22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,true
23,Mayor Thomas M. Menino - Government Center,42.359677,-71.059364,true
24,Seaport Square - Seaport Blvd. at Boston Wharf,42.351821,-71.045461,true
25,Tremont St / W Newton St,42.341332,-71.076847,true
26,Washington St. at Waltham St.,42.341522,-71.068922,true
27,Roxbury Crossing Station,42.331567,-71.094734,true
29,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,true
30,Brigham Cir / Huntington Ave,42.334073,-71.105221,true
31,Seaport Hotel,42.348833,-71.041747,true
32,Landmark Centre,42.343912,-71.102221,true
33,Kenmore Sq / Comm Ave,42.349046,-71.096831,true
35,Franklin St. / Arch St.,42.355402,-71.058087,true
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,true
37,New Balance - 38 Guest St.,42.357121,-71.146318,true
38,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,true
39,Washington St. at Rutland St.,42.338623,-71.074182,true
40,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,true
41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,true
42,Boylston St. at Arlington St.,42.352096,-71.070378,true
43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,true
44,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,true
45,Yawkey Way at Boylston St.,42.344763,-71.09788,true
46,Christian Science Plaza,42.343864,-71.085918,true
47,Cross St. at Hanover St.,42.362811,-71.056067,true
48,Post Office Square,42.356755,-71.055407,true
49,Stuart St. at Charles St.,42.351146,-71.066289,true
50,Boylston St / Berkeley St,42.350989,-71.073644,true
51,Washington St. at Lenox St.,42.3348756,-71.0790969,true
52,Newbury St / Hereford St,42.348717,-71.085954,true
53,Beacon St / Mass Ave,42.350851,-71.089886,true
54,Tremont St / West St,42.354979,-71.063348,true
55,Boylston / Mass Ave,42.347265,-71.088088,true
56,Dudley Square,42.328654,-71.084198,true
57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,true
58,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,true
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,true
60,Charles Circle - Charles St. at Cambridge St.,42.360877,-71.07131,true
61,Boylston at Fairfield,42.348762,-71.082383,true
62,Longwood Ave/Riverway,42.340299,-71.109927,true
63,Dorchester Ave. at Gillette Park,42.344023,-71.057054,true
64,Congress / Sleeper,42.3511,-71.0496,true
65,Boston Convention & Exhibition Center,42.3475,-71.0441,true
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,true
67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,true
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,true
69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,true
70,Harvard Kennedy School at Bennett St / Eliot St,42.372244,-71.121851,true
71,Conway Park - Somerville Avenue,42.383405,-71.107593,true
72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,true
73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,true
74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.11857,
