id,name,lat,long,installed
2,100 Main Street SE,44.984892,-93.256551,true
3,25th Street & 33rd. Ave. S.,44.95734,-93.22374,true
4,Augsburg College,44.96622,-93.2384,true
5,Plymouth Ave N. &  N. Oliver Ave,44.991412,-93.306269,true
6,11th Street & Hennepin,44.97534,-93.27869,true
7,Hennepin & Central Avenue NE,44.98889,-93.25392,true
8,YWCA Downtown,44.972217,-93.276435,true
9,9th Street & 4th Ave.,44.97265,-93.26872,true
10,Midtown Exchange,44.94851,-93.2602,true
11,4th Street & 13th Ave. SE,44.98102,-93.23746,true
12,Hennepin & Laurel Ave.,44.97391,-93.28305,true
13,North 2nd Street & 4th Ave. N,44.986087,-93.272459,true
14,Mpls. Convention Center,44.970041,-93.275861,true
15,Lake Street & Lyndale,44.94964,-93.28827,true
16,22nd Ave S & Franklin Ave,44.962923,-93.241013,true
17,Washington & Cedar,44.97344,-93.24748,true
18,Walker Art Center,44.96746,-93.28848,true
19,22nd Street & Lyndale,44.960744,-93.28815,true
20,MCAD,44.957214,-93.274981,true
21,Social Sciences,44.971359,-93.243754,true
22,YWCA Uptown,44.95131,-93.29853,true
23,Washington & 2nd Ave. N,44.98383,-93.27099,true
24,26th Street & Lyndale,44.95548,-93.28775,true
25,Chicago & 27th Street,44.95355,-93.26259,true
26,Coffman Memorial Union,44.973411,-93.234772,true
27,Williamson Hall,44.977406,-93.234911,true
28,Mayo Memorial Building,44.97209,-93.23206,true
29,4th Street S & 19th Ave.,44.97003,-93.24519,true
30,Washington & Marquette,44.98112,-93.26634,true
31,Hennepin County Government Center,44.976602,-93.266701,true
34,Franklin & 11th Ave,44.96251,-93.2583,true
35,Oak Street Ramp,44.97202,-93.22697,true
36,South 2nd Street & 3rd Ave. S,44.980926,-93.26285,true
37,University Ave. & 23rd Ave. SE,44.974876,-93.224383,true
38,4th Street & 17th Ave. SE,44.97913,-93.23189,true
39,Loring Park,44.9715,-93.284927,true
40,Downtown Library,44.980199,-93.269217,true
41,Currie Park,44.969225,-93.251136,true
42,Cedar Ave & 5th Street S,44.969108,-93.247057,true
43,Park Ave. S & 5th Street,44.97491,-93.26078,true
44,11th Street & Marquette,44.97265,-93.27405,true
45,Franklin & Portland,44.962846,-93.267526,true
46,IDS Center,44.975641,-93.272185,true
47,Lake Street & Humboldt,44.94865,-93.30077,true
48,26th Street & Hennepin,44.9554734,-93.29714298,true
49,Franklin & 28th Ave,44.962679,-93.230493,true
50,University & Bank Street SE,44.98717,-93.25576,true
51,Franklin Ave & Colfax,44.962645,-93.291832,true
52,3rd Street S & 2nd Ave. S,44.97974,-93.26599,true
53,2nd Ave N & N 6th Street,44.980536,-93.275626,true
54,Washington Ave S & 9th Ave S,44.97654,-93.25535,true
55,Nicollet Ave & W 26th Street,44.95618,-93.27796,true
56,7th Street & 4th Ave. S,44.97497,-93.266684,true
57,Nicollet Mall and Grant Street,44.96995,-93.278133,true
58,5th Ave N & 4th Street N,44.98439,-93.277316,true
59,5th Ave. S & East 27th Street,44.954096,-93.26907,true
60,Hennepin Ave. & 4th Street,44.98017,-93.27152,true
61,McNamara Center,44.9743,-93.22854,true
62,Elliot Hall,44.97685,-93.23818,true
63,Elliot Park,44.970553,-93.26079,true
64,Emerson Ave. S & 24th Street,44.959629,-93.294317,true
65,Nicollet & Franklin,44.96342,-93.277939,true
66,28th Street & Nicollet Ave. S,44.9519,-93.27831,true
67,Glenwood Ave & N Morgan Ave.,44.9807,-93.30441,true
68,Minneapolis Farmers Market,44.98052,-93.28542,true
69,Washington Ave N & 9th Ave N,44.989451,-93.279579,true
70,Plymouth Ave. N & Fremont,44.992075,-93.294907,true
71,Bryant Ave. N & West Broadway,44.999341,-93.290941,true
72,Girard Ave N & W Broadway Ave,44.99957,-93.297071,true
73,Farview Park,45.005994,-93.287559,true
74,West Broadway & Logan Ave N,45.002448,-93.305857,true
75,North Regional Library,45.012998,-93.296761,true
76,Lowry Ave. N & Penn Ave.,45.013318,-93.307798,true
77,West 34th Street  & Hennepin Ave S,44.941388,-93.298634,true
79,27th Ave SE & University Ave.,44.97259,-93.218919,true
80,Curfew Street & Ellis Ave.,44.96616,-93.20525,true
81,Carleton Street & University Ave ,44.963549,-93.195906,true
