time,summary,icon,sunriseTime,sunsetTime,precipIntensity,precipProbability,precipType,precipAccumulation,temperature,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,humidity,,,,,
12/31/10 23:00,Mostly cloudy throughout the day.,partly-cloudy-day,1/1/11 6:14,1/1/11 15:22,0,0,,,,39.11,1293865200,56.74,1293908400,0.75,,,,,
1/1/11 23:00,Rain throughout the day.,rain,1/2/11 6:14,1/2/11 15:23,0,0,,,,40.3,1294027200,50.23,1293994800,0.89,,,,,
1/2/11 23:00,"Partly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,1/3/11 6:14,1/3/11 15:24,0,0,,,,29.33,1294113600,38.46,1294030800,0.48,,,,,
1/3/11 23:00,Partly cloudy throughout the day.,partly-cloudy-day,1/4/11 6:14,1/4/11 15:25,0,0,,,,26.64,1294142400,38.62,1294174800,0.54,,,,,
1/4/11 23:00,"Partly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,1/5/11 6:14,1/5/11 15:26,0,0,,,,29.84,1294286400,39.39,1294254000,0.53,,,,,
1/5/11 23:00,Partly cloudy in the evening.,partly-cloudy-night,1/6/11 6:14,1/6/11 15:27,0,0,,,,24,1294315200,31.68,1294344000,0.53,,,,,
1/6/11 23:00,Light snow in the evening.,snow,1/7/11 6:14,1/7/11 15:28,0,0,,,,23.75,1294405200,34.08,1294430400,0.71,,,,,
1/7/11 23:00,Snow (under 1 in) in the morning.,snow,1/8/11 6:14,1/8/11 15:29,0,0,,,,27.38,1294495200,32.67,1294520400,0.85,,,,,
1/8/11 23:00,Partly cloudy until evening.,partly-cloudy-day,1/9/11 6:14,1/9/11 15:30,0,0,,,,26.45,1294632000,34.5,1294599600,0.64,,,,,
1/9/11 23:00,Partly cloudy in the evening.,partly-cloudy-night,1/10/11 6:13,1/10/11 15:31,0,0,,,,23.5,1294664400,34.47,1294693200,0.56,,,,,
1/10/11 23:00,Overcast throughout the day.,partly-cloudy-day,1/11/11 6:13,1/11/11 15:32,0,0,,,,20.58,1294743600,30.79,1294804800,0.7,,,,,
