"time","summary","icon","sunriseTime","sunsetTime","precipIntensity","precipProbability","precipType","precipAccumulation","temperature","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","humidity"
"2013-01-01 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-02 06:14:50","2013-01-02 15:24:15","0","0","","","","16.29","1357185600","30.99","1357149600","0.53"
"2013-01-02 23:00:00","Partly cloudy throughout the day.","partly-cloudy-night","2013-01-03 06:14:50","2013-01-03 15:25:09","0","0","","","","8.32","1357210800","27.85","1357257600","0.49"
"2013-01-03 23:00:00","Partly cloudy in the evening.","partly-cloudy-night","2013-01-04 06:14:48","2013-01-04 15:26:04","0","0","","","","22.67","1357275600","38.39","1357326000","0.61"
"2013-01-04 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-05 06:14:44","2013-01-05 15:27:01","0","0","","","","32.05","1357444800","41.59","1357412400","0.55"
"2013-01-05 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-01-06 06:14:38","2013-01-06 15:27:59","0","0","","","","30.62","1357473600","43.56","1357502400","0.67"
"2013-01-06 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-01-07 06:14:29","2013-01-07 15:28:59","0","0","","","","31.15","1357614000","38.81","1357578000","0.7"
"2013-01-07 23:00:00","Partly cloudy in the morning.","partly-cloudy-day","2013-01-08 06:14:17","2013-01-08 15:30:01","0","0","","","","30.63","1357621200","46.67","1357675200","0.66"
"2013-01-08 23:00:00","Mostly cloudy until evening.","partly-cloudy-day","2013-01-09 06:14:04","2013-01-09 15:31:04","0","0","","","","33.01","1357732800","45.63","1357786800","0.67"
"2013-01-09 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-10 06:13:48","2013-01-10 15:32:08","0","0","","","","37.47","1357876800","46.2","1357844400","0.47"
"2013-01-10 23:00:00","Light rain in the evening.","rain","2013-01-11 06:13:30","2013-01-11 15:33:13","0","0","","","","33.08","1357902000","40.88","1357948800","0.72"
"2013-01-11 23:00:00","Foggy in the evening.","fog","2013-01-12 06:13:09","2013-01-12 15:34:20","0","0","","","","37.77","1357970400","45.21","1358035200","0.94"
"2013-01-12 23:00:00","Mostly cloudy throughout the day.","partly-cloudy-day","2013-01-13 06:12:46","2013-01-13 15:35:28","0","0","","","","43.21","1358071200","51.21","1358136000","0.95"
"2013-01-13 23:00:00","Mostly cloudy throughout the day.","partly-cloudy-day","2013-01-14 06:12:21","2013-01-14 15:36:36","0","0","","","","44.58","1358222400","61.02","1358190000","0.73"
"2013-01-14 23:00:00","Mostly cloudy in the afternoon.","partly-cloudy-day","2013-01-15 06:11:54","2013-01-15 15:37:46","0","0","","","","36.38","1358308800","42.82","1358226000","0.56"
"2013-01-15 23:00:00","Snow (1–2 in) until afternoon.","snow","2013-01-16 06:11:25","2013-01-16 15:38:57","0","0","","","","30.82","1358341200","36.35","1358312400","0.84"
"2013-01-16 23:00:00","Mostly cloudy in the evening.","partly-cloudy-night","2013-01-17 06:10:53","2013-01-17 15:40:09","0","0","","","","31.65","1358481600","43","1358449200","0.7"
"2013-01-17 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-01-18 06:10:19","2013-01-18 15:41:22","0","0","","","","19.69","1358514000","30.7","1358485200","0.36"
"2013-01-18 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-19 06:09:44","2013-01-19 15:42:35","0","0","","","","23.77","1358571600","48.8","1358625600","0.52"
"2013-01-19 23:00:00","Partly cloudy until afternoon.","partly-cloudy-day","2013-01-20 06:09:06","2013-01-20 15:43:49","0","0","","","","31.3","1358740800","54.49","1358704800","0.52"
"2013-01-20 23:00:00","Overcast throughout the day.","partly-cloudy-day","2013-01-21 06:08:25","2013-01-21 15:45:04","0","0","","","","23.8","1358823600","31.26","1358744400","0.48"
"2013-01-21 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-22 06:07:43","2013-01-22 15:46:20","0","0","","","","16.92","1358913600","26.15","1358874000","0.58"
"2013-01-22 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-01-23 06:06:59","2013-01-23 15:47:36","0","0","","","","10.25","1359000000","17.15","1358967600","0.4"
"2013-01-23 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-01-24 06:06:13","2013-01-24 15:48:52","0","0","","","","6.08","1359028800","20.67","1359072000","0.38"
"2013-01-24 23:00:00","Snow (under 1 in) overnight.","snow","2013-01-25 06:05:25","2013-01-25 15:50:09","0","0","","","","10.59","1359111600","24.46","1359147600","0.36"
"2013-01-25 23:00:00","Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day","2013-01-26 06:04:35","2013-01-26 15:51:27","0","0","","","","13.71","1359205200","24.13","1359226800","0.55"
"2013-01-26 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-01-27 06:03:43","2013-01-27 15:52:45","0","0","","","","15.28","1359288000","29.94","1359320400","0.42"
"2013-01-27 23:00:00","Snow (2–3 in) starting in the afternoon.","snow","2013-01-28 06:02:49","2013-01-28 15:54:03","0","0","","","","22.28","1359363600","30.8","1359399600","0.59"
"2013-01-28 23:00:00","Overcast throughout the day.","partly-cloudy-day","2013-01-29 06:01:53","2013-01-29 15:55:22","0","0","","","","27.24","1359460800","41.37","1359504000","0.88"
"2013-01-29 23:00:00","Light rain in the evening.","rain","2013-01-30 06:00:55","2013-01-30 15:56:40","0","0","","","","33.93","1359522000","60.38","1359579600","0.9"
"2013-01-30 23:00:00","Rain and windy in the morning.","rain","2013-01-31 05:59:56","2013-01-31 15:57:59","0","0","","","","34.37","1359691200","60.9","1359630000","0.66"
"2013-01-31 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-02-01 05:58:55","2013-02-01 15:59:18","0","0","","","","25.24","1359777600","34.13","1359741600","0.41"
"2013-02-01 23:00:00","Mostly cloudy throughout the day.","partly-cloudy-day","2013-02-02 05:57:52","2013-02-02 16:00:37","0","0","","","","20.3","1359806400","29.59","1359842400","0.45"
"2013-02-02 23:00:00","Mostly cloudy throughout the day.","partly-cloudy-day","2013-02-03 05:56:47","2013-02-03 16:01:57","0","0","","","","23.53","1359892800","28.34","1359867600","0.75"
"2013-02-03 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-02-04 05:55:41","2013-02-04 16:03:16","0","0","","","","23.48","1359979200","29.94","1360004400","0.55"
"2013-02-04 23:00:00","Light snow (under 1 in) in the evening.","snow","2013-02-05 05:54:33","2013-02-05 16:04:35","0","0","","","","23.33","1360044000","29.04","1360108800","0.56"
"2013-02-05 23:00:00","Partly cloudy until evening.","partly-cloudy-day","2013-02-06 05:53:24","2013-02-06 16:05:54","0","0","","","","26.87","1360141200","39.82","1360177200","0.64"
"2013-02-06 23:00:00","Partly cloudy throughout the day.","partly-cloudy-day","2013-02-07 05:52:13","2013-02-07 16:07:13","0","0","","","","20.22","1360238400","28.28","1360267200","0.41"
"2013-02-07 23:00:00","Windy in the evening, with heavy snow (13–19 in) starting in the afternoon.","snow","2013-02-08 05:51:00","2013-02-08 16:08:32","0","0","","","","20.2","1360382400","33.07","1360339200","0.82"
"2013-02-08 23:00:00","Heavy snow (6–10 in) in the morning and overnight.","snow","2013-02-09 05:49:46","2013-02-09 16:09:51","0","0","","","","14.9","1360468800","21.95","1360454400","0.79"
